doc_id,name,relative_path,size_bytes,page_count,pdf_has_text,needs_ocr,document_type_guess,year_guess,language_guess,doi_guess,standard_code_guess,title_guess,sha256,text_probe_error
27ae1d004ae1073d,一种用于镁及镁合金熔炼的复合型坩埚.pdf,一种用于镁及镁合金熔炼的复合型坩埚.pdf,60826,1,True,False,patent,,zh,,,一种用于镁及镁合金熔炼的复合型坩埚,27ae1d004ae1073d943376a4dec9a6df20d35846410c77c4cecb35c61eccc149,
91bb10a025636713,一种聚能射流引爆屏蔽炸药瞬态过程的实验观测方法.pdf,一种聚能射流引爆屏蔽炸药瞬态过程的实验观测方法.pdf,518928,11,True,False,patent,2020,zh,,,一种聚能射流引爆屏蔽炸药瞬态过程的实验观测方法,91bb10a025636713d33f433b6e832a75d79fa646cc79fde84963b0519acd7f5c,
7a3d63bc955a88c1,一种聚能战斗部用含能复合药型罩及其制备方法.pdf,一种聚能战斗部用含能复合药型罩及其制备方法.pdf,752783,10,True,False,patent,2023,zh,,,一种聚能战斗部用含能复合药型罩及其制备方法,7a3d63bc955a88c1da079f21437617e938447d6eb7be8498765178838f05d511,
a0a904fedb016b4b,一种聚能随进杀伤战斗部.pdf,一种聚能随进杀伤战斗部.pdf,483035,6,True,False,patent,2020,zh,,,一种聚能随进杀伤战斗部,a0a904fedb016b4bad91ae78f2a8365b2e018eaaf08f163670280de664f651a2,
78ec93468f8546e7,中低温高效率长寿热电器件制备与系统集成关键技术-中国科学院宁波材料技术与工程研究所-申报书.pdf,中低温高效率长寿热电器件制备与系统集成关键技术-中国科学院宁波材料技术与工程研究所-申报书.pdf,20243752,146,True,False,journal_or_report,2024,zh,,,中低温高效率长寿热电器件制备与系统集成关键技术-中国科学院宁波材料技术与工程研究所-申报书,78ec93468f8546e798ba9b9a8e3ab0a0e8a9b91956114cfc937f2e2b77db5461,
fb4c81edee76c1b5,中低温高效率长寿热电器件制备与系统集成关键技术-中国科学院宁波材料技术与工程研究所-预算申报书.pdf,中低温高效率长寿热电器件制备与系统集成关键技术-中国科学院宁波材料技术与工程研究所-预算申报书.pdf,27699928,49,True,False,journal_or_report,2025,zh,,,中低温高效率长寿热电器件制备与系统集成关键技术-中国科学院宁波材料技术与工程研究所-预算申报书,fb4c81edee76c1b50142573617e73a7518adba81489304487fb54297e74144be,
df347a7176f8b1ab,中国05式两栖步兵战车.pdf,中国05式两栖步兵战车.pdf,542045,1,True,False,journal_or_report,2010,zh,,,中国05式两栖步兵战车,df347a7176f8b1ab73d864dd5be45e262ae71480c47e4109a7ab964a5ff98e3d,
7795f7c40c2a5087,中国兵器工业金属材料理化检测中心-宣传册.pdf,中国兵器工业金属材料理化检测中心-宣传册.pdf,20756047,16,False,True,brochure,,zh,,,中国兵器工业金属材料理化检测中心-宣传册,7795f7c40c2a508723d06cf7d5323c2768de4618da74fba4042464dd6834bd32,
9bffeecba3a53da5,中国兵工学会2025年学术年会会议手册.pdf,中国兵工学会2025年学术年会会议手册.pdf,18706966,78,True,False,conference,,zh,,,中国兵工学会2025年学术年会会议手册,9bffeecba3a53da57c6efba73be37ffa738f86b84507d28239fffbc674de8e11,
d670eed3dffed203,中国材料工程大典.第1卷.材料工程基础.pdf,中国材料工程大典.第1卷.材料工程基础.pdf,127606070,949,False,True,book,,zh,,,中国材料工程大典.第1卷.材料工程基础,d670eed3dffed203bda7c59693791020ba6dd27a5f3e757ec35be7bf91918ad3,
e13c5439136690ba,中国材料工程大典.第2卷.钢铁材料工程.(上).pdf,中国材料工程大典.第2卷.钢铁材料工程.(上).pdf,144851060,1083,False,True,book,,zh,,,中国材料工程大典.第2卷.钢铁材料工程.(上),e13c5439136690ba9c2da26534d25286ce66efc75dfce8272df91ec5ba93aff6,
399fcf008413f092,在细晶粒低合金镁系统中通过向错位错反应增强超塑性.pdf,在细晶粒低合金镁系统中通过向错位错反应增强超塑性.pdf,19961961,22,True,False,journal_or_report,2022,en,,,在细晶粒低合金镁系统中通过向错位错反应增强超塑性,399fcf008413f092c06882857ff9822f23f2cdd181856849c822eed63ea9f82e,
52e4f8e0a9e947ac,装甲和改装甲材料的设计.pdf,装甲和改装甲材料的设计.pdf,479500,13,True,False,journal_or_report,,en,,,装甲和改装甲材料的设计,52e4f8e0a9e947ac0fd6a58b1b5f1f81013f50e04b624580c90825ba3e79f75d,
46793e3f3151a394,装甲车用铝合金叠层复合板力学行为与抗弹性能优化研究_袁圣林.pdf,装甲车用铝合金叠层复合板力学行为与抗弹性能优化研究_袁圣林.pdf,31873500,67,True,False,journal_or_report,2022,en,,,装甲车用铝合金叠层复合板力学行为与抗弹性能优化研究_袁圣林,46793e3f3151a394a976eb0c6de5d59d719a1b080acb4e396c692a6ed20b2191,
4d71a93d5a65983a,装甲钛合金TC4的热处理方法.pdf,装甲钛合金TC4的热处理方法.pdf,875838,10,False,True,journal_or_report,,zh,,,装甲钛合金TC4的热处理方法,4d71a93d5a65983a51098e90fbddc52b49039c8580b2501d2c5d4814cbf6cbce,
8e987de047397a89,装甲钛合金的研究与应用现状.pdf,装甲钛合金的研究与应用现状.pdf,1583753,8,True,False,journal_or_report,2020,en,10.13567/j.cnki.issn1009-9964.2020.04.012,,装甲钛合金的研究与应用现状,8e987de047397a89c82ad03b4b928d250616f2136218be428af8e1e193ac42c1,
aa31e1d215809a71,装甲钛合金的研究与应用现状_郑超.pdf,装甲钛合金的研究与应用现状_郑超.pdf,2741123,8,True,False,journal_or_report,2020,zh,10.13567/j.cnki.issn1009-9964.2020.04.012,,装甲钛合金的研究与应用现状_郑超,aa31e1d215809a7172166e85a09680afcb3ae0c73950cb08aa918ff8da2e2174,
149bc146ac52e290,装甲钢-混凝土组合结构抗弹体侵彻爆炸作用研究_程月华.pdf,装甲钢-混凝土组合结构抗弹体侵彻爆炸作用研究_程月华.pdf,21669138,193,True,False,journal_or_report,2022,en,,,装甲钢-混凝土组合结构抗弹体侵彻爆炸作用研究_程月华,149bc146ac52e2904f68d592fd98ef5e366008b4b0dfaafe2f515baec6e33be4,
5d5d0d62bbfca260,装甲钢_芳纶复合材料防爆轰波性能研究_曲志敏.pdf,装甲钢_芳纶复合材料防爆轰波性能研究_曲志敏.pdf,576698,3,True,False,journal_or_report,2006,en,,,装甲钢_芳纶复合材料防爆轰波性能研究_曲志敏,5d5d0d62bbfca2603a20bcfdb7ba07473ea3a27a0d5c582c3a16e7ce8f24254a,
614659f0b21c2dab,装甲钢中的夹层材料对抗弹性能的影响.pdf,装甲钢中的夹层材料对抗弹性能的影响.pdf,191219,5,True,False,journal_or_report,2003,en,,,装甲钢中的夹层材料对抗弹性能的影响,614659f0b21c2dab59a358753b2e007988514da8e6359e9481fb11d514ca7d04,
a28fe25754167404,装甲钢动态性能与抗弹性能关系研究.pdf,装甲钢动态性能与抗弹性能关系研究.pdf,194731,5,True,False,journal_or_report,,en,,,装甲钢动态性能与抗弹性能关系研究,a28fe2575416740430f2365a803ffb7486ac5f7250027ad4bb84fdd5598e0382,
227229d3f4192e94,装甲钢板中绝热剪切带的特征.pdf,装甲钢板中绝热剪切带的特征.pdf,209303,5,True,False,journal_or_report,,en,,,装甲钢板中绝热剪切带的特征,227229d3f4192e9474ea327119445899fb9d4df90729796f0f837ae98d5ac110,
c259a32ac9819309,装甲钢焊缝区抗弹防护性能初步探讨.pdf,装甲钢焊缝区抗弹防护性能初步探讨.pdf,3014502,5,True,False,journal_or_report,2022,en,10.19554/j.cnki.1001-3563.2022.21.036,,装甲钢焊缝区抗弹防护性能初步探讨,c259a32ac9819309d1a6cfd085dd69c7b9ce75651fc3ee11737dd6d320caf02a,
7ef52126c0ffffdf,装甲钢焊缝区抗弹防护性能初步探讨_华绍春.pdf,装甲钢焊缝区抗弹防护性能初步探讨_华绍春.pdf,1922875,5,True,False,journal_or_report,2022,en,10.19554/j.cnki.1001-3563.2022.21.036,,装甲钢焊缝区抗弹防护性能初步探讨_华绍春,7ef52126c0ffffdf9c29c79f3f940fe5afc1a0cc392b70f662cdc0d2bda3c45c,
d7425c0cde5da87b,装甲防护厚板淬火过程形状畸变的预测.pdf,装甲防护厚板淬火过程形状畸变的预测.pdf,638523,5,True,False,journal_or_report,2008,en,,,装甲防护厚板淬火过程形状畸变的预测,d7425c0cde5da87bd7e477791f525b1f86348a7f4415cb41833e188622a07d6a,
ec6b699b03978d12,装甲防护材料抗侵彻性能研究现状_赵旭东.pdf,装甲防护材料抗侵彻性能研究现状_赵旭东.pdf,1412007,6,True,False,journal_or_report,2017,en,10.19554/j.cnki.1001-3563.2017.11.027,,装甲防护材料抗侵彻性能研究现状_赵旭东,ec6b699b03978d128738204434f30b7285a3557fa982660c8e4557f510d92c6b,
0e3d59b3ebc09d58,装甲防护衬层及相关材料研究进展_陈东.pdf,装甲防护衬层及相关材料研究进展_陈东.pdf,1503597,8,True,False,journal_or_report,2023,en,,,装甲防护衬层及相关材料研究进展_陈东,0e3d59b3ebc09d5806f31e1e0c74a74e1791a15c962681bfb3265aa76a847cbf,
f4a31386dd2ef7ec,装甲防护陶瓷-金属叠层复合材料界面研究进展_赵宇宏.pdf,装甲防护陶瓷-金属叠层复合材料界面研究进展_赵宇宏.pdf,2763753,19,True,False,journal_or_report,2021,en,10.11900/0412.1961.2021.00051,,装甲防护陶瓷-金属叠层复合材料界面研究进展_赵宇宏,f4a31386dd2ef7ece783345e61b7bbf712ab632ebf306bcd0498ce95ff4d57bb,
